ps_wcode,ps_c_code,treatment,bl_age,edu_cat,religion,bl_quint_all,bl_quint_missing,bl_homeland,bl_agland,bl_cropsr,impute_ag,bl_dds_m,bl_mdd,impute_dd,bl_market,impute_market,bl_lefthome,bl_income,bl_ss_cont,bl_huscomm_cont,bl_extcomm_cont,bl_dec_cont,bl_lefthome_m,bl_ss_cont_m,bl_huscomm_cont_m,bl_extcomm_cont_m,bl_dec_cont_m,bl_income_m,dds_avg,mdd_avg,gardenprac,cropsr,poultrynum_avg,poultryegg_avg,knfg_score_el,knowscore,el_emp_market,el_emp_buygoods,el_emp_soldgoods,el_emp_buymarket,el_dec_income,el_selfefficacy,el_lefthome,el_income,el_ss_cont,el_huscomm_cont,el_extcomm_cont,el_dec_cont,el_network_cont
2101,176,1,25,2,1,1,0,9,0,5,0,4,0,0,1,0,0,0,2,2,0,2,0,2,2,0,2,0,4.75,.75,7,11.055468,2,0,3,1,1,1,0,0,1,1,1,0,2,2,1.6666666,1.2,.1509434
2102,176,1,23,1,1,1,0,0,0,3,0,4,0,0,2,0,0,1,2,2,0,.40000001,0,2,2,0,.40000001,1,4,.25,2,2.4921477,1.5,3.5,2,2,0,0,0,0,0,1,1,0,2,2,1.6666666,.80000001,.60377359
2103,176,1,25,2,1,1,0,0,0,2,0,2,0,0,1,0,1,0,2,2,0,2,1,2,2,0,2,0,3.75,0,3,3.5850847,1.5,0,,2,2,1,0,1,0,1,1,1,2,2,2,1.2,.11320755
2104,176,1,18,1,1,1,0,0,0,4,0,4,0,0,1,0,0,0,.80000001,1.6,.66666669,.80000001,0,.80000001,1.6,.66666669,.80000001,0,3.75,.25,0,5.4231892,1.5,2.5,3,2,0,0,0,0,0,1,0,0,1.6,1.6,1,.80000001,.71698111
2105,176,1,22,0,1,1,0,13,0,2,0,3,0,0,0,0,0,0,.40000001,2,0,0,0,.40000001,2,0,0,0,4.25,.5,3,4.939796,0,0,3,1,0,0,0,0,0,1,0,0,2,2,2,.80000001,.71698111
2106,176,1,25,0,1,1,0,4,0,7,0,4,0,0,1,0,1,0,2,2,.66666669,0,1,2,2,.66666669,0,0,3.75,.25,1,4.8240447,2,2,1,2,1,1,0,0,0,1,0,0,1.6,2,1,1.6,.26415095
2107,176,1,27,2,1,1,0,4,0,4,0,3,0,0,0,0,0,0,.40000001,1.6,1,1.6,0,.40000001,1.6,1,1.6,0,3.75,.25,1,7.0146236,0,0,3,3,0,0,0,0,1,1,0,0,2,1.2,1,2,.98113209
2108,176,1,18,1,1,1,0,14,0,5,0,3,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,3.75,.25,0,4.3509288,2,0,1,2,2,1,0,1,1,1,1,0,2,2,1.6666666,2,.52830189
2109,176,1,27,2,1,2,0,7.5,0,7,0,6,1,0,0,0,0,0,2,2,0,.40000001,0,2,2,0,.40000001,0,4.5,.25,9,9.0176926,4,0,2,3,1,1,0,0,0,1,0,1,2,2,2,.40000001,.18867925
2110,176,1,23,4,2,2,0,15,120,13,0,3,0,0,1,0,1,1,2,2,0,1.6,1,2,2,0,1.6,1,4.75,.5,0,6.1963234,0,0,2,3,2,1,1,0,0,1,0,1,2,2,2,1.6,.2264151
2111,176,1,21,3,2,3,0,3,120,6,0,5,1,0,0,0,0,0,2,2,0,2,0,2,2,0,2,0,4,.5,4,4.25,0,0,,4,,,,,0,1,,,,,,1.2,.41509435
2112,176,1,22,4,2,5,0,12,240,10,0,7,1,0,1,0,1,0,2,2,.33333334,.40000001,1,2,2,.33333334,.40000001,0,5.25,.75,0,4.6146235,1,0,0,1,1,1,0,0,0,1,1,0,2,2,2,1.2,0
2113,176,1,23,3,2,2,0,13,57,6,0,4,0,0,0,0,1,0,2,1.6,0,.80000001,1,2,1.6,0,.80000001,0,3.5,.25,11,17.614624,0,0,2,4,2,1,0,1,0,1,1,0,2,1.6,1,1.2,0
2114,176,1,27,3,2,4,0,6,180,1,0,6,1,0,0,0,0,0,2,1.6,0,0,0,2,1.6,0,0,0,4.25,.25,7,5.0099587,0,0,4,3,0,0,0,0,1,1,0,1,2,2,2,.40000001,0
2115,176,1,20,3,2,4,0,6,560,3,0,4,0,0,0,0,0,0,2,1.2,0,0,0,2,1.2,0,0,0,3.75,.25,5,3.8146236,0,0,1,2,0,0,0,0,0,1,0,0,1.2,1.2,.33333334,.80000001,0
2116,176,1,21,2,2,1,0,10,16,16,0,4,0,0,1,0,1,0,1.6,2,0,0,1,1.6,2,0,0,0,3.25,0,9,8.9948111,0,0,3,2,0,0,0,0,0,1,0,0,2,2,1.6666666,1.2,.2264151
